d.nom_localidade_fam;total;fora_escola;ch02_pct
JARDIM AMANDA;879;471;0.5358361774744027
JARDIM BOA ESPERANCA;297;166;0.5589225589225589
JARDIM NOVA EUROPA;213;148;0.6948356807511737
JARDIM NOVA AMERICA;207;117;0.5652173913043478
JARDIM NOVA HORTOLANDIA;210;116;0.5523809523809524
JARDIM NOVO ANGULO;233;109;0.4678111587982833
JARDIM AMANDA II;159;86;0.5408805031446541
JARDIM NOSSA SENHORA AUXILIADORA;161;84;0.5217391304347826
JARDIM AMANDA 2;145;84;0.5793103448275863
PARQUE DO HORTO;138;69;0.5
JARDIM PRIMAVERA;124;69;0.5564516129032258
JARDIM SAO JORGE;110;68;0.6181818181818182
VILA REAL CONTINUACAO;110;63;0.5727272727272728
JARDIM SAO BENTO;116;62;0.5344827586206896
JARDIM MINDA;108;59;0.5462962962962963
JARDIM MONTE SINAI;104;59;0.5673076923076923
JARDIM SUMAREZINHO;114;58;0.5087719298245614
JARDIM ADELAIDE;135;57;0.4222222222222222
JARDIM AMANDA 1;101;56;0.5544554455445545
JARDIM CAMPOS VERDES;87;53;0.6091954022988506
NOVO ANGULO;110;52;0.4727272727272727
JARDIM CONCEICAO;85;51;0.6
JARDIM AMANDA I;108;51;0.4722222222222222
JARDIM SANTA ESMERALDA;90;47;0.5222222222222223
VILA REAL;79;47;0.5949367088607594
JARDIM NOSSA SENHORA DE FATIMA;107;46;0.42990654205607476
JARDIM SAO SEBASTIAO;113;44;0.3893805309734513
PARQUE ORESTES ONGARO;75;42;0.56
JARDIM BRASIL;72;39;0.5416666666666666
JARDIM SANTA CLARA DO LAGO;76;39;0.5131578947368421
REMANSO CAMPINEIRO;76;38;0.5
VILA INEMA;74;36;0.4864864864864865
JARDIM INTERLAGOS;70;36;0.5142857142857142
VILA SAO PEDRO;68;34;0.5
JARDIM SANTIAGO;62;33;0.532258064516129
JARDIM NOVO CAMBUI;51;32;0.6274509803921569
JARDIM SANTA FE;47;28;0.5957446808510638
RESIDENCIAL RECANTO DO SOL;45;24;0.5333333333333333
JARDIM NOVO ESTRELA;46;23;0.5
PARQUE ORESTE ONGARO;44;23;0.5227272727272727
VILA GUEDES;49;23;0.46938775510204084
JARDIM SANTA IZABEL;46;22;0.4782608695652174
SANTA EMILIA;36;22;0.6111111111111112
JARDIM TERRAS DE SANTO ANTONIO;47;22;0.46808510638297873
JARDIM NOVO HORIZONTE;39;22;0.5641025641025641
PARQUE PERON;39;21;0.5384615384615384
JARDIM DO BOSQUE;34;20;0.5882352941176471
PARQUE DOS PINHEIROS;53;20;0.37735849056603776
PARQUE ORTOLANDIA;34;20;0.5882352941176471
JARDIM SAO CAMILO;36;19;0.5277777777777778
PARQUE SANTO ANDRE;25;18;0.72
JARDIM DAS FLORES;31;18;0.5806451612903226
NOVA HORTOLANDIA;34;18;0.5294117647058824
PARQUE GABRIEL;34;18;0.5294117647058824
RECANTO DO SOL;29;17;0.5862068965517241
JARDIM ALINE;48;17;0.3541666666666667
JARDIM SANTA RITA DE CASSIA;33;17;0.5151515151515151
JARDIM DO LAGO;29;16;0.5517241379310345
NOVA AMERICA;30;15;0.5
PARQUE TERRAS DE SANTA MARIA;20;14;0.7
VILA DA CONQUISTA;29;14;0.4827586206896552
JARDIM SANTA CLARA DO LAGO I;24;13;0.5416666666666666
JARDIM MIRANTE DE SUMARE;20;13;0.65
LOTEAMENTO RECANTO DO SOL;22;13;0.5909090909090909
RESIDENCIAL ANAUA;26;13;0.5
ADVENTISTA CAMPINEIRO;21;13;0.6190476190476191
JARDIM SANTANA;21;13;0.6190476190476191
JARDIM DAS FIGUEIRAS II;21;12;0.5714285714285714
CHACARA FAZENDA COELHO;24;12;0.5
JARDIM AUXILIADORA;33;12;0.36363636363636365
MONTE SINAI;13;12;0.9230769230769231
JARDIM VILLAGIO GHIRALDELLI;18;11;0.6111111111111112
JARDIM NOVA HORTOLANDIA I;21;11;0.5238095238095238
VILA AMERICA;17;10;0.5882352941176471
JARDIM ROSOLEM;17;10;0.5882352941176471
JARDIM MALTA;22;10;0.45454545454545453
JARDIM DAS LARANJEIRAS;13;10;0.7692307692307693
CHACARAS ASSAY;11;10;0.9090909090909091
JARDIM DAS COLINAS;20;9;0.45
JARDIM SANTA CLARA DO LAGO II;15;9;0.6
JARDIM RICARDO;16;9;0.5625
JARDIM EVEREST;16;8;0.5
VILA SAO FRANCISCO;16;8;0.5
RESIDENCIAL FURLAN;11;8;0.7272727272727273
CHACARAS FAZENDA COELHO;18;8;0.4444444444444444
JARDIM CARMEM CRISTINA;18;8;0.4444444444444444
LOTEAMENTO NOVA ALVORADA;14;8;0.5714285714285714
JARDIM SANTA LUZIA;10;7;0.7
CHACARA REYMAR;16;7;0.4375
JARDIM SAO PEDRO;17;7;0.4117647058823529
JARDIM NOVA ALVORADA;9;7;0.7777777777777778
JARDIM SANTA EMILIA;12;7;0.5833333333333334
PARQUE MARIA DE LOURDES;13;7;0.5384615384615384
JARDIM GIRASSOL;13;6;0.46153846153846156
PARQUE RESIDENCIAL MARIA DE LOURDES;11;6;0.5454545454545454
RESIDENCIAL JOAO LUIZ;13;6;0.46153846153846156
JARDIM ROSOLEN;12;6;0.5
PARQUE SAO MIGUEL;18;6;0.3333333333333333
CONJUNTO HABITACIONAL JARDIM PRIMAVERA;13;6;0.46153846153846156
JARDIM SAO FELIPE;12;6;0.5
JARDIM NOSSA SENHORA DA PENHA;14;6;0.42857142857142855
LOTEAMENTO ADVENTISTA CAMPINEIRO;15;5;0.3333333333333333
NUCLEO SANTA IZABEL;19;5;0.2631578947368421
PARQUE TERRA DE SANTA MARIA;8;5;0.625
JARDIM SANTA CLARA;9;5;0.5555555555555556
RESIDENCIAL RECANTO DE SOL;5;5;1.0
JARDIM BOA VISTA;10;5;0.5
PARQUE BELLA VILLE;9;5;0.5555555555555556
CHACARA NOVA BOA VISTA;9;5;0.5555555555555556
JARDIM NOVA HORTOLANDIA II;13;4;0.3076923076923077
JARDIM RESIDENCIAL VECCON BURITI;9;4;0.4444444444444444
SANTA ESMERALDA;4;4;1.0
JARDIM RESIDENCIAL FIRENZE;9;4;0.4444444444444444
JARDIM ESTEFANIA;7;4;0.5714285714285714
PARQUE ODIMAR;10;4;0.4
CHACARA ASSAY;9;4;0.4444444444444444
RESIDENCIAL VECCON BURITI;4;4;1.0
JARDIM CARMEN CRISTINA;13;4;0.3076923076923077
JARDIM GHIRALDELLI;8;4;0.5
PARQUE BELLAVILLE;10;4;0.4
NUCLEO RESIDENCIAL FURLAN;9;3;0.3333333333333333
JARDIM SANTA AMELIA;7;3;0.42857142857142855
JARDIM DAS FIGUEIRAS;11;3;0.2727272727272727
JARDIM DAS FIGUEIRAS 2;4;3;0.75
VILA REAL SANTISTA;6;3;0.5
JARDIM DAS FIGUEIRAS I;10;3;0.3
FURLAN;3;3;1.0
VILA CONQUISTA;5;3;0.6
JARDIM SANTO ANTONIO;8;3;0.375
JARDIM MIRANTE;3;3;1.0
CHACARA RECREIO ALVORADA;7;3;0.42857142857142855
JARDIM NOVA ESTRELA;3;3;1.0
JARDIM SANTA RITA;3;3;1.0
JARDIM SANTA CANDIDA;6;3;0.5
PARQUE HORTOLANDIA;7;2;0.2857142857142857
RESIDENCIAL MARIA DE LOURDES;5;2;0.4
CHACARA PLANALTO;7;2;0.2857142857142857
VILAGIO GHIRALDELLI;2;2;1.0
RES EUROPA;2;2;1.0
LOTEAMENTO JARDIM DAS FLORES;3;2;0.6666666666666666
CHACARA LUZITANA;2;2;1.0
VILA REAL CONTINUAO;3;2;0.6666666666666666
JARDIM AMNADA;2;2;1.0
SANTA RITA DE CASSIA;2;2;1.0
JARDIM SANTO ANDRE;2;2;1.0
CHACARAS PLANALTO;3;2;0.6666666666666666
JARDIM BOA ESPERANA;3;2;0.6666666666666666
JARDIM BELA VISTA;4;2;0.5
JARDIM NOSSA SENHORA AUXIADORA;2;2;1.0
