d.nom_localidade_fam;agua;esgoto;ambos;total
JARDIM RESIDENCIAL FIRENZE;2;0;0;2
JARDIM NOVO HORIZONTE;1;1;0;2
NOVA HORTOLANDIA;1;1;0;2
JARDIM NOVA HORTOLANDIA II;1;2;1;2
VILA GUEDES;2;0;0;2
VILA INEMA;1;1;0;2
VILA SAO PEDRO;1;1;0;2
JARDIM CONCEICAO;1;1;0;2
CHACARA LUZITANA;2;0;0;2
JARDIM AMANDA II;2;0;0;2
JARDIM BRASIL;1;1;0;2
JARDIM CARMEM CRISTINA;0;2;0;2
CHACARAS ACARAI;0;2;0;2
CHACARA RECREIO ALVORADA;0;2;0;2
JARDIM AMANDA 1;0;2;0;2
CHACARA ASSAY;0;2;0;2
CHACARA HAVAI;0;1;0;1
PARQUE SAO MIGUEL;0;1;0;1
JARDI CAMPOS VEDES;0;1;0;1
FURLAN;0;1;0;1
PARQUE DOS PINHEIROS;0;1;0;1
VILA SAO FRANCISCO;0;1;0;1
CHACARAS REYMAR;1;0;0;1
CHACARAS RECREIO ALVORADA;0;1;0;1
PARQUE ORESTES ONGARO;0;1;0;1
PARQUE ORTOLANDIA;0;1;0;1
CHACARAS RECREIO 2000;1;0;0;1
PARQUE RESIDENCIAL MARIA DE LOURDES;0;1;0;1
PARQUE SANTA MARIA;0;1;0;1
VILA REAL SANTISTA;0;1;0;1
PARQUE SANTO ANDRE;0;1;0;1
CHACARAS GROTA AZUL;0;1;0;1
VILA IPE;0;1;0;1
RECREIO ALVORADA;0;1;0;1
VILA REAL CONTIANUCAO;0;1;0;1
JARDIM ADELIDE;1;0;0;1
RESIDENCIAL FIRENZE;1;0;0;1
CHACARA GROTA AZUL;1;0;0;1
RESIDENCIAL JOAO LUIZ;0;1;0;1
CHACARA RECREIO 2000;0;1;0;1
SUMAREZINHO;1;0;0;1
TAQUARA BRANCA;1;1;1;1
TERRA PRETA;0;1;0;1
VILA AMERICA;1;0;0;1
CHACARA NOVA ALVORADA;0;1;0;1
JARDIM NOVA ALVORADA;1;0;0;1
JARDIM AMANDA I;1;1;1;1
NUCLEO RESIDENCIAL FURLA;1;1;1;1
JARDIM ROSOLEM;0;1;0;1
JARDIM SANTA LUZIA;0;1;0;1
JARDIM SANTA IZABEL;1;0;0;1
JARDIM DAS PAINEIRAS;1;0;0;1
JARDIM DO BOSQUE;0;1;0;1
JARDIM SANTA CLARA DO LAGO;0;1;0;1
JARDIM DO BRAZ;0;1;0;1
JARDIM EVERESTE;1;0;0;1
JARDIM NOVA HORTOLANDIA I;0;1;0;1
JARDIM FIGUEIRA II;1;0;0;1
JARDIM IMINDA;0;1;0;1
JARDIM NOVO ESTRELA II;0;1;0;1
JARDIM LARANJEIRAS;0;1;0;1
JARDIM NOSSA SENHORA AUXILIHADORA;0;1;0;1
JARDIM NOSSA SENHORA DA PENHA;1;0;0;1
JARDIM SANTA RITA;1;0;0;1
JARDIM DAS FIGUEIRAS;0;1;0;1
JARDIM DAS COLINAS;1;0;0;1
JARDIM SAO CAMILO;0;1;0;1
JARDIM SAO JOSE;1;0;0;1
JARDIM CAMPOS VERDES;0;1;0;1
JARDIM STEFANIA;0;1;0;1
JARDIM STELLA;0;1;0;1
JARDIM TERRAS DE SANTO ANTONIO;0;1;0;1
JARDIM VILLAGIO GHIRALDELLI;0;1;0;1
JARDIN NOVO ANGULO;0;1;0;1
JD AMANDA;1;0;0;1
JRDIM MONTE SINAI;1;0;0;1
LOTEAMENTO NOVA ALVORADA;1;0;0;1
JARDIM AMANDA2;1;0;0;1
MONTE SINAL;1;0;0;1
NOSSA SENHORA AUXILIADORA;1;0;0;1
JARDIM ROSOLEN;0;1;0;1
