d.nom_localidade_fam;total;analfabetos;ch06_pct
PARQUE ORESTE ANGORO;2;0;0.0
JADIM DAS FIGUEIRAS;3;0;0.0
PARQUE TERRAS DE SANTA MARI A;1;0;0.0
JADIM AMNADA 1;1;0;0.0
PERON;4;0;0.0
RECAANTO DO SOL;2;0;0.0
RE;1;0;0.0
R;1;0;0.0
PQRQUE ORESTES ONGARO;2;0;0.0
PQ PINHEIROS;2;0;0.0
PQ ORTOLANDIA;2;0;0.0
PQ ORESTES ONGARO;2;0;0.0
PQ GABRIEL;4;0;0.0
PQ DOS PINHEIROS;1;0;0.0
PQ DO HORTO;1;0;0.0
PARQUEDOHORTO;1;0;0.0
JAADVENTISTA CAMPINEIRO;1;0;0.0
PARQUE VASCONCELOS;3;0;0.0
CONDOMINO JARDIM DE MONACO;3;0;0.0
PARQUE TERRRAS DE SANTA MARIA;2;0;0.0
PARQUE TERROS DE SANTA MARIA;3;0;0.0
ESTRELA;1;0;0.0
PARQUE TERRAS DE SNTA MARIA;1;0;0.0
FIGUEIRAS I;2;0;0.0
PARQUE MARI DE LOURDES;2;0;0.0
GLEBA 1A2D1C;2;0;0.0
GOLDEN PARK RESIDENCE;2;0;0.0
JARDI SANTO ANDRE;1;0;0.0
JARDIM NOSSA SENHORAS DE LOURDES;2;0;0.0
PARQUE MARI ADE LOURDES;2;0;0.0
JARDIIM AMANDA;2;0;0.0
JARDIM AMNAD I;1;0;0.0
NUCLEO RESIDENCIAL FURLA;2;0;0.0
NUCLEO RES FURLAN;3;0;0.0
NUC RES FURLAN;3;0;0.0
NOVO HORTOLANDIA;1;0;0.0
NOVO HORIZONTE;3;0;0.0
JARDIM AMNADA;3;0;0.0
NOVO CAMBUI;4;0;0.0
JARDIM AMNDA I;1;0;0.0
JARDIM AMNDA II;2;0;0.0
JARDIM AUXILADORA;2;0;0.0
NOVA ESTRELA II;3;0;0.0
NOVA ESTRELA;1;0;0.0
NOVA BOA VISTA;1;0;0.0
JARDIM AUXLIADORA;1;0;0.0
NOVA ALVORADA;2;0;0.0
NOV ANGULO;1;0;0.0
NOSSA SENHORA DE FATIMA;1;0;0.0
NOSSA SENHORA AUXILIADORA;8;0;0.0
MOVA AMERICA;2;0;0.0
JARDIM BELA VISTA;13;0;0.0
MONTE SINAL;1;0;0.0
JARDIM BELLAVILLE;2;0;0.0
NUCLEO SANTA ISABEL;17;0;0.0
JARDIM AMANDA2;1;0;0.0
NVO ANGULO;5;0;0.0
PARQUE DO PINHEIROS;2;0;0.0
CONDOMINIO RESIDENCIAL VILLA FLORA;7;0;0.0
PARQUE HORTLANDIA;1;0;0.0
PARQUE HORIZONTE;7;0;0.0
JARDIM;2;0;0.0
PARQUE GABRIL;1;0;0.0
JARDIM ADELIDE;2;0;0.0
JARDIM ADVENTISTA;1;0;0.0
JARDIM ADVENTISTA CAMPINEIRO;1;0;0.0
PARQUE DOS PINHEIRO;6;0;0.0
PARQUE DOS PINEHIROS;3;0;0.0
JARDIM AMANAD I;1;0;0.0
JARDIM AMANDA1;1;0;0.0
PARQUE DO;2;0;0.0
JARDIM AMANADA II;7;0;0.0
PARQU PERON;1;0;0.0
PARQEU GABRIEL;2;0;0.0
JARDIM AMAND;1;0;0.0
PAR;2;0;0.0
PAQUE PERON;1;0;0.0
JARDIM AMANDA 01;2;0;0.0
PAQUE HORTOLANDIA;2;0;0.0
JARDIM AMANDA 02;3;0;0.0
PARQUE HORTO;4;0;0.0
RECREIO NOVA ALVORADA;1;0;0.0
RECANTO DA SOL;1;0;0.0
BELLA VILE;1;0;0.0
BELLA VILLE HORTOLANDIA;2;0;0.0
BOA ESPERANCA;11;0;0.0
CAHCARA NOVA BOA VISTA;1;0;0.0
CAMPOS VERDES;3;0;0.0
VILA AURORA;1;0;0.0
CARMEM CRISTINA;2;0;0.0
VIL REAL;2;0;0.0
VIL A SAO PEDRO;2;0;0.0
VIDA DA CONQUISTA;1;0;0.0
VIA REAL;4;0;0.0
VIA INEMA;1;0;0.0
TERRAS SANTO ANTONIO;6;0;0.0
TERRAS DE SANTO ANTONIO;1;0;0.0
CARMEN CRISTINA;4;0;0.0
TERRAS DE SANTA DE MARIA;1;0;0.0
TERRA PRETA;4;0;0.0
TERRA DE SANTA MARIA;4;0;0.0
CH N BOA VISTA;2;0;0.0
CHACAHAS RECREIO ALVORADA;1;0;0.0
CHACARA ACARAY;1;0;0.0
SELECIONE;2;0;0.0
CHACARA ALVORADA;1;0;0.0
SAO SABASTIAO;7;0;0.0
VILA ILEMA;2;0;0.0
VILA IPE;20;0;0.0
CONDOMINIO RESIDENCIAL VILA FLORA;4;0;0.0
VILA REA CONTINUACAO;1;0;0.0
VL DA CONQUISTA;2;0;0.0
VL AMERICA;1;0;0.0
ADVENTISTA CAMP;1;0;0.0
VILLA FLORA;4;0;0.0
VILE REAL CONTINUACAO;2;0;0.0
VILAREAL;2;0;0.0
VILAGIO GIRALDELLI;4;0;0.0
VILAGIO GHIRALDELLI;12;0;0.0
VILA SAO FRANCSICO;4;0;0.0
VILA SAO FRANCISCO DE ASSIS;3;0;0.0
AMANDA;4;0;0.0
VILA SAO FRACISCO;1;0;0.0
VILA RELA CONITNUACAO;1;0;0.0
VILA REAQL;3;0;0.0
VILA REALCONTINUACAO;2;0;0.0
AMANDA 1;2;0;0.0
ARDIM AMANDA II;1;0;0.0
VILA REAL CONTINUAO;8;0;0.0
ARDIM PRIMAVERA;1;0;0.0
VILA REAL CONTINUAAO;1;0;0.0
VILA REAL CONTIANUCAO;2;0;0.0
VILA REAL CONINUACAO;1;0;0.0
AUXILIADORA;3;0;0.0
SAO MIGUEL;2;0;0.0
CHACARA FAZENDO COELHO;3;0;0.0
SAO CAMILO;1;0;0.0
SAO BENTO 2;1;0;0.0
CHACARAS ASSAHY;6;0;0.0
RESIDENCIAL JOAO LUIS;3;0;0.0
RESIDENCIAL JARDIM FIRENZE;2;0;0.0
CHACARAS DE RECREIO 2000;10;0;0.0
CHACARAS GROTA AZUL;5;0;0.0
CHACARAS REYMAR;19;0;0.0
CHACARRA ASSAY;1;0;0.0
CHARARA NOVA BOA VISTA;3;0;0.0
CHCARA NOVA BOA VISTA;1;0;0.0
COLEGIO ADVENTISTA CAMPINEIRO;8;0;0.0
RESIDENCIA JOAO LUIZ;1;0;0.0
RESIDENCAL RECANTO DO SOL;1;0;0.0
RES JOAO LUIZ;2;0;0.0
RES FURLAN;1;0;0.0
RES EUROPA;1;0;0.0
RES ANAUA;2;0;0.0
REMASO CAMPINEIRO;1;0;0.0
REMANSO CAMPINERO;2;0;0.0
CONDOMINIO CHACARA GROTA AZUL;4;0;0.0
REMANSO;2;0;0.0
REESIDENCIAL VECCON BURITI;2;0;0.0
MARINHO PEREIRA DOS SANTOS;1;0;0.0
RECREIO ALVORADA;2;0;0.0
CHACARAS ACARAY;2;0;0.0
RESIDENCIAL NOVO ESTRELA;2;0;0.0
RESIDENCIAL NUCLEO FURLAN;2;0;0.0
CHACARA NOVA ALVORADA;2;0;0.0
SAO BENTO 1;2;0;0.0
SAO BENTO;1;0;0.0
SANTO ANDRE;1;0;0.0
SANTA RITA DE CASSIA;22;0;0.0
SANTA ISABEL;1;0;0.0
SANTA FE;8;0;0.0
CHACARA GROTA AZUL;11;0;0.0
CHACARA JARDIM BOA VISTA;1;0;0.0
SANTA CLARA DO LAGO II;1;0;0.0
SANTA CLARA DO LAGO I;1;0;0.0
CHACARA NOVA VISTA;1;0;0.0
CHACARA RECREIO 2000;6;0;0.0
SANTA AMELIA;3;0;0.0
RIO MISSISSIPI;1;0;0.0
RESIDENCIAU ANAUA;2;0;0.0
RESIDENCIAL VILA FLORA;3;0;0.0
RESIDENCIAL VILA BURITI;2;0;0.0
CHACARA RECANTO ALVORADA;2;0;0.0
RESIDENCIAL VECCON BURITI;15;0;0.0
RESIDENCIAL SAO SEBASTIAO;2;0;0.0
CHACARA RECHEIO ALVORADA;2;0;0.0
CHACARA RECREIO;2;0;0.0
MIRANTE DE SUMARE;5;0;0.0
LOTEAMENTO PRIMAVERA;1;0;0.0
LOTNOVA ALVORADA;2;0;0.0
JARDIM DO LIRIO;5;0;0.0
JARDIM SANTA CLARA DO LAGP;1;0;0.0
JARDIM FIGUEIRAS I;5;0;0.0
JARDIM FIGUEIRAS II;6;0;0.0
JARDIM FIRENZE;20;0;0.0
JARDIM SANTA CLARA DO LAGO CONT;1;0;0.0
JARDIM SANTA CLARA DO LAGO 2;7;0;0.0
JARDIM SANTA CLARA DO LAGO 1;5;0;0.0
JARDIM FIRENZE II;2;0;0.0
JARDIM SANTA CLARA DO LADO CONTINUACAO;2;0;0.0
JARDIM FLAMBOYANT;6;0;0.0
JARDIM SANTA CLARA 2;1;0;0.0
JARDIM FLORIDA;3;0;0.0
JARDIM SANTA CLAR DO LAGO;3;0;0.0
JARDIM SANTA ANDRE;1;0;0.0
JARDIM GHIRLDELLI;3;0;0.0
JARDIM SANTA;2;0;0.0
JARDIM SANT CLARA DO LAGO I;3;0;0.0
JARDIM SANT ACLARA DO LAGO;2;0;0.0
JARDIM SANATA ESMERALDA;1;0;0.0
JARDIM GREEN PARK RESIDENCE;3;0;0.0
JARDIM INERLAGOS;3;0;0.0
JARDIM INTERLADOS;3;0;0.0
JARDIM IPE;2;0;0.0
JARDIM SANTA CLARA II;2;0;0.0
JARDIM SANTA CLARAO LAGO I;1;0;0.0
JARDIM SANTA CLRA;2;0;0.0
JARDIM SANTA RITA CASSIA;1;0;0.0
JARDIM SAO;8;0;0.0
JARDIM ESTAFANIA;4;0;0.0
JARDIM ESTRELA 2;4;0;0.0
JARDIM SANTNA;2;0;0.0
JARDIM EVERESTE;6;0;0.0
JARDIM SANTANA AMELIA;1;0;0.0
JARDIM EVERESTI;4;0;0.0
JARDIM SANTA RITA DOS PINHEIROS;5;0;0.0
JARDIM SANTA RITA DO PINHEIROS;1;0;0.0
JARDIM FIGUEIRA;3;0;0.0
JARDIM SANTA RITA;6;0;0.0
JARDIM SANTA CLRA DO LAGO;1;0;0.0
JARDIM FIGUEIRA 1;4;0;0.0
JARDIM FIGUEIRA 2;2;0;0.0
JARDIM SANTA LUIZA;2;0;0.0
ADIVENTISTA CAMPINEIRO;4;0;0.0
JARDIM SANTA ISABEL;3;0;0.0
JARDIM FIGUEIRA II;4;0;0.0
JARDIM SANTA ESMERALDO;1;0;0.0
JARDIM FIGUEIRAS 1;7;0;0.0
JARDIM FIGUEIRAS 2;3;0;0.0
JARDIM SANTA DOS PINHEIROS;1;0;0.0
JARDIM RESIDENCIAL VECCON;2;0;0.0
JARDIM RESIDENCIAL JOAO LUIZ;1;0;0.0
JARDIM RESIDENCIAL FORENZE;2;0;0.0
JARDIM NOVA H;2;0;0.0
JARDIM NOVAA HORTOLANDIA;1;0;0.0
JARDIM NOVA NOVA HORTOLANDIA;2;0;0.0
JARDIM NOVA HORTOLNDIA I;2;0;0.0
JARDIM NOVA HORTOLNDIA;1;0;0.0
JARDIM NOVA HORTOLANIDIA;2;0;0.0
JARDIM NOSSA DE FATIMA;2;0;0.0
JARDIM NOSSA SANHORA DE FATIMA;1;0;0.0
JARDIM NOSSA SENHOR AUXILIADORA;1;0;0.0
JARDIM NOSSA SENHORA AUXIDORA;1;0;0.0
JARDIM NOVA HOORTOLANDIA;1;0;0.0
JARDIM NOSSA SENHORA AUXILIADORAA;1;0;0.0
JARDIM NOVO ANFULO;1;0;0.0
JARDIM NOVA EUROUPA;1;0;0.0
JARDIM NOSSA SENHORA AUXILIHADORA;2;0;0.0
JARDIM NOSSA SENHORA AUXILILIADORA;4;0;0.0
JARDIM NOSSA SENHORA AUXLIADORA;2;0;0.0
JARDIM NOSSA SENHORA DA FATIMA;3;0;0.0
JARDIM NOSSA SENHORA DE CASSIA;2;0;0.0
JARDIM NOSSA SENHORA FATIMA;1;0;0.0
JARDIM NOVA AMERIA;1;0;0.0
JARDIM NOVA AMAERICA;2;0;0.0
JARDIM NOV0 HORIZONTE;1;0;0.0
JARDIM NOVO AANGULO;3;0;0.0
JARDIM NOVO ANGILO;2;0;0.0
JARDIM LAJANJEIRAS;2;0;0.0
JARDIM NOVO HORTOLANDIA;2;0;0.0
JARDIM RESIDENCIAL BURITI;7;0;0.0
JARDIM RES;1;0;0.0
JARDIM LARNAJEIRAS;2;0;0.0
JARDIM RECANTO DO SOL;5;0;0.0
JARDIM PRIMAVIRA;1;0;0.0
JARDIM PRIMAVERS;1;0;0.0
JARDIM MALT A;1;0;0.0
JARDIM PRI;3;0;0.0
JARDIM MANDA 2;4;0;0.0
JARDIM PAINEIRAS;3;0;0.0
JARDIM MSANTA CLARA DO LAGO;1;0;0.0
JARDIM NONO ANGULO;1;0;0.0
JARDIM NOVO EUROPA;2;0;0.0
JARDIM NOVO ESYTRELA II;2;0;0.0
JARDIM NOVO ESTRELA III;5;0;0.0
JARDIM NIOVA AMERICA;2;0;0.0
JARDIM NOVO ESTRELA I;2;0;0.0
JARDIM NOVO ESTRELA 2;3;0;0.0
JARDIM NIOVA HORTOLANDIA;2;0;0.0
JARDIM NOVO E;1;0;0.0
JARDIM NOA EUROPA;2;0;0.0
JARDIM NONA EUROPA;2;0;0.0
JARDIM DO MALTA;1;0;0.0
JARDIM DO LADO;1;0;0.0
LOTEMENTO ADENTISTA CAMPINEIRO;1;0;0.0
JARDIM DO BRAS;11;0;0.0
JD SAO BENTO;1;0;0.0
JD SANTA EMILIA;2;0;0.0
JD S RITA DE CASSIA;1;0;0.0
JD PRIMAVERA;1;0;0.0
JD NOVO HORIZONTE;6;0;0.0
JD NOVO ANGULO;10;0;0.0
JD NOVA EUROPA;3;0;0.0
JD NOVA AMERICA;7;0;0.0
JD NOSSA SENHORA DE FATIMA;2;0;0.0
JD MONTE SINAI;2;0;0.0
JD MIRANTE DE SUMARE;3;0;0.0
JD MINDA;3;0;0.0
JD MALTA;3;0;0.0
JD INTERLAGOS;1;0;0.0
JD GIRASSOL;1;0;0.0
JD DO LAGO;2;0;0.0
JD BRASIL;1;0;0.0
JD AUXILIADORA;1;0;0.0
JD AMANDA II;1;0;0.0
JD AMANDA 2;1;0;0.0
JD AMANDA 1;1;0;0.0
JARDIM CARME CRISTINA;1;0;0.0
JARDIM CARMEM;1;0;0.0
JD VILA VERDE;1;0;0.0
JOAO LUIZ;1;0;0.0
JRADIM DO LAGO;1;0;0.0
LOTEAMENTO D CASA;1;0;0.0
LOTEAMENTO REMANSO CAMPINEIRO;28;0;0.0
JARDIM BOA ESERANCA;4;0;0.0
JARDIM NOV EUROPA;1;0;0.0
JARDIM BOA ESPERAANCA;2;0;0.0
LOTEAMENTO NOVO ALVORADA;2;0;0.0
LOTEAMENTO JARDIM VILA VERDE;2;0;0.0
JARDIM BOA ESPERACA;2;0;0.0
LOTEAMENTO JARDIM NOVO ANGULO;1;0;0.0
LOTEAMENTO JARDIM DAS FLORES;19;0;0.0
LOTEAMENTO FLAMBOYANT;2;0;0.0
JARDIM BOA ESPERANCA II;3;0;0.0
JRDIM ADELAIDE;2;0;0.0
JARDIM BOA ESPERNCA;3;0;0.0
LOT REMANSO CAMPINEIRO;1;0;0.0
JARDIM BOA ESPRENCA;2;0;0.0
JRDIM SAO SEBASTIAO;2;0;0.0
JARDIM CAMOPS VERDES;1;0;0.0
JRDIM NOVA AMERICA;2;0;0.0
JARDIM CAMPOS VRDES;1;0;0.0
JRDIM MONTE SINAI;1;0;0.0
JRDIM MIRANTE DE SUMARE;2;0;0.0
JRDIM INTERLAGOS;1;0;0.0
JARSIM NOVA EUROPA;4;0;0.0
JARIM NOVO ANGULO;2;0;0.0
JARIM NOVA HORTOLANDIA;1;0;0.0
JARDIM DAS FIGUERAS II;2;0;0.0
JARDIM TERRA DE SANTO ANTONIO;1;0;0.0
JARDIM DAAS FIGUEIRAS;3;0;0.0
JARDIM SUMARESINHO;2;0;0.0
JARDIM SUAMREZINHO;2;0;0.0
JARDIM DAS FIGUEIRAS;34;0;0.0
JARDIM SO CAMILO;1;0;0.0
JARDIM DAS FIGUEIRAS 1;15;0;0.0
JARDIM SNATA CLARA DO LAGO;7;0;0.0
JARDIM DAS FIGUEIRAS 2;32;0;0.0
JARDIM SASO BENTO;1;0;0.0
JARDIM SAO SEBESTIAO;1;0;0.0
JARDIM VALLAGIO GHIRALDELLI;2;0;0.0
JARDIM SAO SEBATIAO;1;0;0.0
JARDIM SAO SEBASTIO;2;0;0.0
JARDIM DAS FIGUIERAS II;4;0;0.0
JARDIM SAO SABASTIAO;2;0;0.0
JARDIM SAO RICARDO;1;0;0.0
JARDIM DAS FIQUEIRAS II;1;0;0.0
JARDIM SAO MIGUEL;1;0;0.0
JARDIM DAS LARANEJIRAS;1;0;0.0
